,name,decimalLongitude,decimalLatitude,issues,prov,key,datasetKey,publishingOrgKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,scientificName,kingdom,phylum,order,family,genus,genericName,specificEpithet,infraspecificEpithet,taxonRank,dateIdentified,coordinateUncertaintyInMeters,year,month,day,eventDate,modified,lastInterpreted,references,license,geodeticDatum,class,countryCode,country,rightsHolder,identifier,informationWithheld,verbatimEventDate,datasetName,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,recordedBy,catalogNumber,institutionCode,rights,eventTime,occurrenceRemarks,identificationID,individualCount,elevation,elevationAccuracy,continent,stateProvince,habitat,institutionID,georeferencedBy,municipality,county,locality,language,taxonomicStatus,type,vernacularName,samplingProtocol,verbatimElevation,identifiedBy,higherClassification
95,Puma concolor,-106.591857,23.682145,"cdround,gass84",gbif,1453498506,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:42:16.705+0000,2018-02-01T17:45:10.489+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2017-03-11T16:20:12.000+0000,316,2017,2,24,24-02-17,2018-01-25T05:51:51.000+0000,2018-02-05T02:21:12.135+0000,https://www.inaturalist.org/observations/5281431,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,rancholaspalomas,5281431,NA,Fri Feb 24 2017 19:39:02 GMT-0700 (GMT-7),iNaturalist research-grade observations,Observations,1453498506,"San Ignacio, San Ignacio, SIN, MX",http://conabio.inaturalist.org/observations/5281431,42007,rancholaspalomas,5281431,iNaturalist,© rancholaspalomas some rights reserved,02:39:02Z,Las Palomas Meseta de Cacaxtla,10889165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Puma concolor,-81.287934,26.203164,"cdround,gass84",gbif,1453374224,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:41:47.391+0000,2018-04-30T16:03:40.519+0000,115,HUMAN_OBSERVATION,6164600,1,44,359,732,9703,2435098,"Puma concolor coryi (Bangs, 1899)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,coryi,SUBSPECIES,2017-01-23T12:36:31.000+0000,29868,2017,1,23,23-01-17,2018-04-26T12:49:44.000+0000,2018-04-30T16:03:40.553+0000,https://www.inaturalist.org/observations/4994527,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,US,United States,petecorradino,4994527,Coordinate uncertainty increased to 29868m to protect threatened taxon,Mon Jan 23 2017 07:29:34 GMT-0500 (EST),iNaturalist research-grade observations,Observations,1453374224,"Florida, US",https://www.inaturalist.org/observations/4994527,198919,petecorradino,4994527,iNaturalist,© petecorradino some rights reserved,12:29:34Z,NA,10097991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Puma concolor,-81.678355,26.314212,"cdround,gass84",gbif,1847631684,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:41:43.032+0000,2018-05-31T15:40:21.943+0000,115,HUMAN_OBSERVATION,6164600,1,44,359,732,9703,2435098,"Puma concolor coryi (Bangs, 1899)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,coryi,SUBSPECIES,2017-01-15T13:51:16.000+0000,29868,2017,1,1,01-01-17,2018-05-24T22:48:30.000+0000,2018-05-31T15:40:21.990+0000,https://www.inaturalist.org/observations/4948932,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,US,United States,Nick Block,4948932,Coordinate uncertainty increased to 29868m to protect threatened taxon,2017/01/01 12:18 PM EST,iNaturalist research-grade observations,Observations,1847631684,"Florida, US",https://www.inaturalist.org/observations/4948932,198919,Nick Block,4948932,iNaturalist,© Nick Block some rights reserved,17:18:00Z,Panther scat on the boardwalk! So cool!,9979819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Puma concolor,-108.356593,31.070805,"cdround,gass84",gbif,1837757197,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:33:09.886+0000,2018-04-09T16:19:39.448+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-04-02T06:01:46.000+0000,22,2018,3,28,28-03-18,2018-04-02T16:05:46.000+0000,2018-04-09T16:19:39.596+0000,https://www.inaturalist.org/observations/10565023,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Enrique Perez Carrillo,10565023,NA,Wed Mar 28 2018 22:05:33 GMT-0700 (GMT-7),iNaturalist research-grade observations,Observations,1837757197,"Janos, CHIH, Janos, CHIH, MX",https://www.inaturalist.org/observations/10565023,42007,Enrique Perez Carrillo,10565023,iNaturalist,© Enrique Perez Carrillo some rights reserved,05:05:33Z,NA,23471450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Puma concolor,-108.356609,31.070845,"cdround,gass84",gbif,1847565674,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:35:30.564+0000,2018-05-31T15:22:54.506+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-05-20T20:38:51.000+0000,1,2018,5,1,01-05-18,2018-05-25T21:21:33.000+0000,2018-05-31T15:25:35.074+0000,https://www.inaturalist.org/observations/12652420,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Enrique Perez Carrillo,12652420,NA,2018/05/01 7:30 PM MDT,iNaturalist research-grade observations,Observations,1847565674,"Janos, Chih., México",https://www.inaturalist.org/observations/12652420,42007,Enrique Perez Carrillo,12652420,iNaturalist,© Enrique Perez Carrillo some rights reserved,01:30:00Z,Puma hembra preñada,27583879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Puma concolor,-109.267612,31.328795,"cdround,gass84",gbif,1836582492,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:27.901+0000,2018-05-09T01:49:07.449+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-03-05T18:38:27.000+0000,2064,2018,3,3,03-03-18,2018-03-06T05:44:18.000+0000,2018-05-09T01:49:30.202+0000,https://www.inaturalist.org/observations/10101687,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,ivansouffle,10101687,NA,2018-03-03 11:49:12 AM GMT-07:00,iNaturalist research-grade observations,Observations,1836582492,"Unnamed Road, Sonora, México",https://www.inaturalist.org/observations/10101687,42007,ivansouffle,10101687,iNaturalist,© ivansouffle some rights reserved,04:49:12Z,NA,22374539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Puma concolor,-109.253594,31.332503,"cdround,gass84",gbif,1836583425,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:32:28.137+0000,2018-04-09T16:15:58.780+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-03-05T21:40:48.000+0000,5504,2018,3,3,03-03-18,2018-04-03T21:49:54.000+0000,2018-04-09T16:15:58.817+0000,https://www.inaturalist.org/observations/10103995,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,David Alejandro Gastelum,10103995,NA,2018-03-03 2:40:00 PM GMT-07:00,iNaturalist research-grade observations,Observations,1836583425,"Unnamed Road, Sonora, México",https://www.inaturalist.org/observations/10103995,42007,David Alejandro Gastelum,10103995,iNaturalist,© David Alejandro Gastelum some rights reserved,07:40:00Z,NA,22380590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Puma concolor,-110.278852,31.400103,"cdround,gass84",gbif,1848802420,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:36:01.476+0000,2018-06-12T02:17:32.724+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2018-06-03T19:30:08.000+0000,500,2018,5,26,26-05-18,2018-06-03T20:39:15.000+0000,2018-06-12T02:19:20.982+0000,https://www.inaturalist.org/observations/13086766,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,US,United States,brandonbest,13086766,NA,2018/05/26 9:23 AM CDT,iNaturalist research-grade observations,Observations,1848802420,Hunter Canyon,https://www.inaturalist.org/observations/13086766,42007,brandonbest,13086766,iNaturalist,© brandonbest some rights reserved,14:23:00Z,NA,28462718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Puma concolor,-110.196483,31.689197,"cdround,gass84",gbif,1807271378,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:41:57.597+0000,2018-02-15T09:17:37.097+0000,115,HUMAN_OBSERVATION,2435099,1,44,359,732,9703,2435098,"Puma concolor (Linnaeus, 1771)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,NA,SPECIES,2017-02-11T19:42:53.000+0000,3,2017,2,9,09-02-17,2018-01-31T23:17:22.000+0000,2018-02-15T09:17:37.121+0000,https://www.inaturalist.org/observations/5090495,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,US,United States,Christine Hass,5090495,NA,2017-02-09 12:38:31 PM MST,iNaturalist research-grade observations,Observations,1807271378,"Cochise County, US-AZ, US",https://www.inaturalist.org/observations/5090495,42007,Christine Hass,5090495,iNaturalist,© Christine Hass some rights reserved,19:38:31Z,NA,10373359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Puma concolor,-95.321097,31.761902,"cdround,gass84",gbif,1841273238,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2018-06-20T17:34:42.009+0000,2018-05-07T16:00:33.733+0000,115,HUMAN_OBSERVATION,6164590,1,44,359,732,9703,2435098,"Puma concolor couguar (Kerr, 1792)",Animalia,Chordata,Carnivora,Felidae,Puma,Puma,concolor,couguar,SUBSPECIES,2018-04-30T12:23:40.000+0000,2931896,2018,4,29,29-04-18,2018-05-01T08:37:36.000+0000,2018-05-07T16:00:34.152+0000,https://www.inaturalist.org/observations/11868595,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,US,United States,mary437,11868595,Coordinate uncertainty increased to 2931896m to protect threatened taxon,Sun Apr 29 2018 18:52:12 GMT-0500 (CDT),iNaturalist research-grade observations,Observations,1841273238,United States,https://www.inaturalist.org/observations/11868595,143589,mary437,11868595,iNaturalist,© mary437 some rights reserved,23:52:12Z,NA,26003604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
